agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes
651,1-63,1,"S Virginia St",,3,http://rtcwashoe.com/routes/route-1-south-virginia/,2c8976,ffffff,1,
651,2-63,2,"Ninth / Silverada / Sparks",,3,http://rtcwashoe.com/routes/route-2-ninthsilveradartc-centennial/,9b8fa5,ffffff,2,
651,2S-63,2S,"Ninth / Silverada",,3,http://rtcwashoe.com/routes/route-2s-ninthsilveradartc-centennial/,598d9b,ffffff,3,
651,4-63,4,"West Seventh",,3,http://rtcwashoe.com/routes/route-4-west-seventh/,916d3b,ffffff,4,
651,5-63,5,"Sutro / Sun Valley",,3,http://rtcwashoe.com/routes/route-5-sutrosun-valley/,2dc2be,ffffff,5,
651,6-63,6,"Arlington / Moana",,3,http://rtcwashoe.com/routes/route-6-arlingtonmoana/,c07a46,ffffff,6,
651,7-63,7,"Stead",,3,http://rtcwashoe.com/routes/route-7-stead/,0287b4,ffffff,7,
651,9-63,9,"Kietzke",,3,http://rtcwashoe.com/routes/route-9-kietzke/,3fb567,ffffff,8,
651,11-63,11,"Fourth / Prater",,3,http://rtcwashoe.com/routes/route-11-fourthprater/,06b2c6,ffffff,9,
651,12-63,12,"Terminal / Neil",,3,http://rtcwashoe.com/routes/route-12-terminalneil/,a49b8a,ffffff,10,
651,13-63,13,"VA Hospital / Grove",,3,http://rtcwashoe.com/routes/route-13-va-hospitalgrove/,4995cf,ffffff,11,
651,14-63,14,"East Mill",,3,http://rtcwashoe.com/routes/route-14-east-mill/,ea6381,ffffff,12,
651,15-63,15,"Sutro / Wedekind / TMCC",,3,http://rtcwashoe.com/routes/route-15-sutrowedekindtmcc/,2c508e,ffffff,13,
651,16-63,16,"Idlewild",,3,http://rtcwashoe.com/routes/route-16-idlewild/,5b64a7,ffffff,14,
651,17-63,17,"Lemmon Valley",,3,http://rtcwashoe.com/routes/route-17-lemmon-valley/,00b1f4,ffffff,15,
651,18-63,18,"Glendale / Greg",,3,http://rtcwashoe.com/routes/route-18-glendalegreg/,ef2d6a,ffffff,16,
651,19-63,19,"Wells / Airport",,3,http://rtcwashoe.com/routes/route-19-wellsairport/,e0e606,000000,17,
651,21-63,21,"Sparks Marina",,3,http://rtcwashoe.com/routes/route-21-sparks-marina/,b1186a,ffffff,18,
651,25-63,25,"East Prater / Baring",,3,http://rtcwashoe.com/routes/route-25-east-praterbaring/,ee9053,ffffff,19,
651,26-63,26,"East Prater 4th & Prater",,3,http://rtcwashoe.com/routes/route-26-east-prater/,ca9140,ffffff,20,
651,2TS-63,2TS,"Ninth / Tom Sawyer / Sparks",,3,http://rtcwashoe.com/routes/route-2-ninthsilveradartc-centennial/,9b8fa5,ffffff,21,
651,3CC-63,3CC,"Kings Row / Sky Mtn (counterclockwise)",,3,http://rtcwashoe.com/routes/route-3cc-kings-rowsky-mountain/,e1553a,ffffff,22,
651,3CL-63,3CL,"Sky Mtn / Kings Row (clockwise)",,3,http://rtcwashoe.com/routes/route-3cl-kings-rowsky-mountain/,e1553a,ffffff,23,
651,54-63,54,"Mira Loma",,3,http://rtcwashoe.com/routes/route-54-sparksmeadowood/,ed9d92,ffffff,24,
651,56-63,56,"South Meadows / Damonte Ranch",,3,http://rtcwashoe.com/routes/route-56-south-meadowsdamonte-ranch/,10bade,ffffff,25,
651,INTC-63,INTC,"RTC INTERCITY Reno/Carson City",,3,http://rtcwashoe.com/routes/rtc-intercity/,707fff,ffffff,26,
651,RAPD-63,RAPD,"RTC RAPID",,3,http://rtcwashoe.com/routes/rtc-rapid-south-virginia/,2c8976,ffffff,27,
651,SS-63,SS,"SIERRA SPIRIT",,3,http://rtcwashoe.com/routes/rtc-sierra-spirit/,7b91f7,ffffff,28,
