shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10062,39.529684,-119.811101,10001
10062,39.529891,-119.810064,10002
10062,39.529786,-119.810034,10003
10062,39.529669,-119.809994,10004
10062,39.529462,-119.811089,10005
10062,39.529377,-119.811287,10006
10062,39.528685,-119.811078,10007
10062,39.527856,-119.810805,10008
10062,39.527427,-119.810677,10009
10062,39.527230,-119.810609,10010
10062,39.527230,-119.810609,20001
10062,39.526573,-119.810382,20002
10062,39.526475,-119.810341,20003
10062,39.526456,-119.810331,20004
10062,39.526456,-119.810331,30001
10062,39.526393,-119.810297,30002
10062,39.526319,-119.810246,30003
10062,39.526281,-119.810213,30004
10062,39.525723,-119.809796,30005
10062,39.525614,-119.809723,30006
10062,39.525567,-119.809697,30007
10062,39.525491,-119.809661,30008
10062,39.525422,-119.809635,30009
10062,39.525103,-119.809484,30010
10062,39.524556,-119.809254,30011
10062,39.524348,-119.809162,30012
10062,39.524275,-119.809143,30013
10062,39.524143,-119.809141,30014
10062,39.524049,-119.809167,30015
10062,39.523999,-119.809191,30016
10062,39.523972,-119.809208,30017
10062,39.523950,-119.809222,30018
10062,39.523889,-119.809239,30019
10062,39.523845,-119.809245,30020
10062,39.523749,-119.809243,30021
10062,39.523692,-119.809228,30022
10062,39.523268,-119.809026,30023
10062,39.522599,-119.808692,30024
10062,39.522241,-119.809883,30025
10062,39.521900,-119.811164,30026
10062,39.521808,-119.811060,30027
10062,39.521694,-119.810983,30028
10062,39.520968,-119.810628,30029
10062,39.520968,-119.810628,40001
10062,39.520912,-119.810601,40002
10062,39.520413,-119.810358,40003
10062,39.519932,-119.810116,40004
10062,39.518886,-119.809605,40005
10062,39.518296,-119.809314,40006
10062,39.517706,-119.809027,40007
10062,39.517020,-119.808686,40008
10062,39.516523,-119.808447,40009
10062,39.516481,-119.808426,40010
10062,39.516481,-119.808426,50001
10062,39.516387,-119.808380,50002
10062,39.515461,-119.807925,50003
10062,39.514861,-119.807631,50004
10062,39.514861,-119.807631,60001
10062,39.514813,-119.807608,60002
10062,39.514770,-119.807586,60003
10062,39.512888,-119.806671,60004
10062,39.512628,-119.806531,60005
10062,39.511694,-119.806104,60006
10062,39.511442,-119.805982,60007
10062,39.511442,-119.805982,70001
10062,39.510760,-119.805652,70002
10062,39.509760,-119.805170,70003
10062,39.508790,-119.804704,70004
10062,39.508790,-119.804704,80001
10062,39.508427,-119.804530,80002
10062,39.507897,-119.804272,80003
10062,39.507353,-119.804011,80004
10062,39.506926,-119.803797,80005
10062,39.506926,-119.803797,90001
10062,39.506700,-119.803684,90002
10062,39.506160,-119.803420,90003
10062,39.505747,-119.803228,90004
10062,39.504685,-119.802710,90005
10062,39.504111,-119.802438,90006
10062,39.504111,-119.802438,100001
10062,39.502633,-119.801738,100002
10062,39.501852,-119.801360,100003
10062,39.501461,-119.801169,100004
10062,39.500770,-119.800823,100005
10062,39.500623,-119.800743,100006
10062,39.499757,-119.800306,100007
10062,39.499372,-119.800109,100008
10062,39.499372,-119.800109,110001
10062,39.498861,-119.799847,110002
10062,39.498564,-119.799693,110003
10062,39.497435,-119.799135,110004
10062,39.496161,-119.798529,110005
10062,39.496161,-119.798529,120001
10062,39.495611,-119.798267,120002
10062,39.494752,-119.797887,120003
10062,39.494580,-119.797803,120004
10062,39.494397,-119.797719,120005
10062,39.494397,-119.797719,130001
10062,39.493662,-119.797383,130002
10062,39.493135,-119.797133,130003
10062,39.492193,-119.796634,130004
10062,39.491562,-119.796301,130005
10062,39.491265,-119.796154,130006
10062,39.490667,-119.795857,130007
10062,39.490667,-119.795857,140001
10062,39.488047,-119.794557,140002
10062,39.487904,-119.794575,140003
10062,39.486810,-119.794031,140004
10062,39.486810,-119.794031,150001
10062,39.485670,-119.793463,150002
10062,39.485361,-119.793302,150003
10062,39.484638,-119.792947,150004
10062,39.484638,-119.792947,160001
10062,39.484006,-119.792637,160002
10062,39.483162,-119.792229,160003
10062,39.482234,-119.791777,160004
10062,39.482179,-119.791752,160005
10062,39.482102,-119.791718,160006
10062,39.481652,-119.791509,160007
10062,39.480996,-119.791194,160008
10062,39.480996,-119.791194,170001
10062,39.480335,-119.790877,170002
10062,39.479641,-119.790546,170003
10062,39.479398,-119.790439,170004
10062,39.479272,-119.790387,170005
10062,39.479058,-119.790286,170006
10062,39.478851,-119.790188,170007
10062,39.478620,-119.790076,170008
10062,39.478267,-119.789901,170009
10062,39.477829,-119.789692,170010
10062,39.477122,-119.789351,170011
10062,39.477010,-119.789303,170012
10062,39.476846,-119.789236,170013
10062,39.476690,-119.789177,170014
10062,39.475772,-119.788690,170015
10062,39.475150,-119.788374,170016
10062,39.474232,-119.787926,170017
10062,39.473427,-119.787528,170018
10062,39.473427,-119.787528,180001
10062,39.472161,-119.786902,180002
10062,39.471164,-119.786418,180003
10062,39.471199,-119.786298,180004
10062,39.471401,-119.785578,180005
10062,39.471401,-119.785578,190001
10062,39.471461,-119.785363,190002
10062,39.471498,-119.785169,190003
10062,39.471516,-119.784769,190004
10062,39.471535,-119.784320,190005
10062,39.471530,-119.782865,190006
10062,39.472429,-119.783321,190007
10062,39.472490,-119.783231,190008
10062,39.472018,-119.783004,190009
10106,39.472018,-119.783004,10001
10106,39.471531,-119.782768,10002
10106,39.471530,-119.782865,10003
10106,39.471535,-119.784320,10004
10106,39.471516,-119.784769,10005
10106,39.471498,-119.785169,10006
10106,39.471461,-119.785363,10007
10106,39.471199,-119.786298,10008
10106,39.471808,-119.786593,10009
10106,39.471808,-119.786593,20001
10106,39.472163,-119.786764,20002
10106,39.474007,-119.787657,20003
10106,39.474275,-119.787778,20004
10106,39.474573,-119.787907,20005
10106,39.474689,-119.787965,20006
10106,39.474689,-119.787965,30001
10106,39.475307,-119.788267,30002
10106,39.476742,-119.788947,30003
10106,39.476851,-119.789006,30004
10106,39.477007,-119.789090,30005
10106,39.477594,-119.789380,30006
10106,39.477897,-119.789524,30007
10106,39.478607,-119.789865,30008
10106,39.478762,-119.789935,30009
10106,39.478954,-119.790027,30010
10106,39.479184,-119.790141,30011
10106,39.479446,-119.790266,30012
10106,39.480128,-119.790597,30013
10106,39.480128,-119.790597,40001
10106,39.480386,-119.790722,40002
10106,39.480779,-119.790909,40003
10106,39.481090,-119.791081,40004
10106,39.481831,-119.791430,40005
10106,39.481910,-119.791474,40006
10106,39.482170,-119.791592,40007
10106,39.482241,-119.791625,40008
10106,39.482301,-119.791655,40009
10106,39.482798,-119.791879,40010
10106,39.484060,-119.792489,40011
10106,39.484961,-119.792930,40012
10106,39.484961,-119.792930,50001
10106,39.485104,-119.793000,50002
10106,39.485737,-119.793351,50003
10106,39.487949,-119.794459,50004
10106,39.488047,-119.794557,50005
10106,39.490143,-119.795597,50006
10106,39.490143,-119.795597,60001
10106,39.491265,-119.796154,60002
10106,39.491562,-119.796301,60003
10106,39.492193,-119.796634,60004
10106,39.493135,-119.797133,60005
10106,39.493662,-119.797383,60006
10106,39.493792,-119.797442,60007
10106,39.493792,-119.797442,70001
10106,39.494580,-119.797803,70002
10106,39.494752,-119.797887,70003
10106,39.495611,-119.798267,70004
10106,39.497435,-119.799135,70005
10106,39.497650,-119.799242,70006
10106,39.497650,-119.799242,80001
10106,39.498564,-119.799693,80002
10106,39.498861,-119.799847,80003
10106,39.499757,-119.800306,80004
10106,39.500623,-119.800743,80005
10106,39.500770,-119.800823,80006
10106,39.501461,-119.801169,80007
10106,39.501570,-119.801222,80008
10106,39.501570,-119.801222,90001
10106,39.501852,-119.801360,90002
10106,39.502633,-119.801738,90003
10106,39.503018,-119.801921,90004
10106,39.503018,-119.801921,100001
10106,39.504685,-119.802710,100002
10106,39.505747,-119.803228,100003
10106,39.506160,-119.803420,100004
10106,39.506700,-119.803684,100005
10106,39.507001,-119.803835,100006
