stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10,,"S Virginia Street and S Wells Avenue",,  39.506878,-119.803963,,,0,
100,,"York Way and 11th Street",,  39.553009,-119.757782,,,0,
101,,"York Avenue & Rock Boulevard",,  39.553047,-119.760933,,,0,
1015,,"S Arlington Avenue and W Plumb Lane",,  39.506306,-119.817101,,,0,
1016,,"S Arlington Avenue and Mt Rose Street",,  39.509411,-119.817116,,,0,
1017,,"S Arlington Avenue and Monroe Street",,  39.512615,-119.817093,,,0,
102,,"Rock Boulevard and Vance Way",,  39.551098,-119.762032,,,0,
1025,,"Mira Loma Drive and Caballo Drive",,  39.486095,-119.749481,,,0,
1029,,"Wedekind Road and Helena Avenue",,  39.550121,-119.795616,,,0,
103,,"Rock Boulevard and Tyler Way",,  39.549751,-119.762070,,,0,
104,,"Rock Boulevard and Greenbrae Drive",,  39.547611,-119.762093,,,0,
1041,,"Wedekind Road at Community Garden Apartments.",,  39.551167,-119.786324,,,0,
1043,,"W 4th Street and Summit Ridge Drive",,  39.519268,-119.848312,,,0,
1044,,"Lancaster Drive and N Virginia Street",,  39.592674,-119.836212,,,0,
1045,,"Lancaster Drive and Yorkshire Drive",,  39.590317,-119.840813,,,0,
1046,,"Carlyle Drive and Carlyle Court",,  39.592247,-119.843079,,,0,
1047,,"Carlyle Drive and Pendleton Place",,  39.594131,-119.844398,,,0,
1048,,"Yorkshire Drive and Birmingham Place",,  39.594852,-119.843102,,,0,
1049,,"Golden Valley Road and N Virginia Street",,  39.597218,-119.839508,,,0,
105,,"Greenbrae Drive and Lorena Street",,  39.547375,-119.767830,,,0,
1050,,"N Virginia Street and Golden Valley Road Farside",,  39.597347,-119.839485,,,0,
1051,,"Yorkshire Drive and Birmingham Place",,  39.595169,-119.843300,,,0,
1052,,"Carlyle Drive and Pendleton Place",,  39.593819,-119.844513,,,0,
1053,,"Carlyle Drive and Carlyle Court",,  39.592304,-119.843246,,,0,
1054,,"Lancaster Drive and Yorkshire Drive",,  39.590187,-119.841011,,,0,
1055,,"Lancaster Drive and N Calridge Pointe Parkway",,  39.592571,-119.837067,,,0,
1058,,"Nichols Boulevard and N McCarran Boulevard",,  39.536541,-119.737267,,,0,
1059,,"Nichols Boulevard and E Victorian Avenue",,  39.535561,-119.740868,,,0,
106,,"Greenbrae Drive and Sullivan Lane",,  39.547245,-119.771950,,,0,
1060,,"Mill Street and Telegraph Street",,  39.517048,-119.773735,,,0,
1061,,"Mill Street and Telegraph Street",,  39.517330,-119.773148,,,0,
1062,,"W Rock Boulevard and Joule Street",,  39.509773,-119.763031,,,0,
1067,,"Lancaster Drive and Essex Way",,  39.592094,-119.839073,,,0,
1068,,"Lancaster Drive and Essex Way",,  39.591999,-119.839005,,,0,
107,,"Greenbrae Drive and El Rancho Drive",,  39.547642,-119.775230,,,0,
1079,,"E 2nd Street at Walmart",,  39.527687,-119.780685,,,0,
108,,"Silverada Boulevard and Fantastic Drive Sak'n Save",,  39.547325,-119.782738,,,0,
1080,,"Pyramid Way and I Street",,  39.543468,-119.752571,,,0,
1081,,"Pyramid Way and Prater Way",,  39.541157,-119.752838,,,0,
1085,,"Mill Street and Matley Lane",,  39.518425,-119.780212,,,0,
1087,,"Mill Street and Matley Lane",,  39.518288,-119.779015,,,0,
1088,,"Orovada Street at Reno Housing Authority",,  39.548958,-119.779503,,,0,
1089,,"Orovada Street at Reno Housing Authority",,  39.549080,-119.779449,,,0,
109,,"Silverada Boulevard and Paradise Drive",,  39.544777,-119.782829,,,0,
1097,,"S McCarran Boulevard and Kietzke Lane",,  39.477043,-119.791786,,,0,
110,,"Silverada Boulevard and Orchid Way",,  39.543182,-119.783775,,,0,
1106,,"Capital Boulevard and S Rock Boulevard at Lawson",,  39.502911,-119.754219,,,0,
1107,,"Glendale Avenue and Park Way Avenue",,  39.527565,-119.761940,,,0,
111,,"Carville Drive and Tom Sawyer Drive",,  39.542084,-119.781807,,,0,
112,,"Tom Sawyer Drive and Carville Drive",,  39.541439,-119.781868,,,0,
1138,,"Kings Row and McDonald Drive",,  39.536873,-119.838196,,,0,
114,,"Silverada Boulevard and Tybo Avenue",,  39.539764,-119.784584,,,0,
1141,,"Lancaster Drive and Westminster Parkway",,  39.592632,-119.837852,,,0,
115,,"E 9th Street and Trident Way",,  39.539143,-119.787247,,,0,
1150,,"Neil Road and Delucchi Lane",,  39.470760,-119.780334,,,0,
1156,,"W 4th Street between Stoker and Summit Ridge",,  39.520645,-119.844749,,,0,
1159,,"E Prater Way and Dolce Drive",,  39.542118,-119.700844,,,0,
116,,"E 9th Street and Manhattan Street",,  39.538795,-119.789207,,,0,
1167,,"E Prater Way and Pete's Way",,  39.542561,-119.698952,,,0,
1168,,"E Prater Way and Vista Boulevard",,  39.541981,-119.703178,,,0,
1169,,"Sparks Boulevard and Tyco Way",,  39.545151,-119.714722,,,0,
117,,"E 9th Street and Montello Street",,  39.538548,-119.794983,,,0,
118,,"E 9th Street and Sutro Street at Senior Center",,  39.538612,-119.798897,,,0,
1188,,"N Virginia Street and N McCarran Boulevard",,  39.552742,-119.825363,,,0,
119,,"E 9th Street and Wells Avenue at County Offices",,  39.538647,-119.802345,,,0,
1192,,"Kietzke Lane and Redfield Parkway",,  39.480228,-119.793633,,,0,
1199,,"S McCarran Boulevard and Longley Lane",,  39.477013,-119.765862,,,0,
12,,"S Virginia Street and Hillcrest Drive",,  39.504066,-119.802597,,,0,
120,,"Sadleir Way and N Wells Avenue",,  39.541981,-119.803627,,,0,
1201,,"E Prater Way and Lillard Drive",,  39.541824,-119.710220,,,0,
1202,,"E Prater Way and Feeder Street",,  39.541817,-119.706314,,,0,
1208,,"E Lincoln Way and Boxington Way",,  39.533504,-119.713081,,,0,
1209,,"Sparks Blvd at Park Vista Apartments",,  39.538372,-119.715195,,,0,
121,,"Sadleir Way and Valley Road",,  39.541920,-119.806717,,,0,
1210,,"Sky Mountain Drive and Summit Ridge Drive",,  39.520920,-119.858856,,,0,
1211,,"Sky Mountain Drive and Arbor Ridge Drive",,  39.522552,-119.858406,,,0,
1212,,"Sky Mountain Drive at Northwind Apartments",,  39.523945,-119.856377,,,0,
1213,,"Sky Valley Drive and Mistyridge Lane",,  39.523464,-119.853333,,,0,
1214,,"Sky Valley Drive at Southridge Apartments",,  39.520916,-119.852562,,,0,
122,,"Valley Road and Highland Avenue",,  39.541470,-119.807991,,,0,
1220,,"Grand Sierra Resort at Sportsbook",,  39.524719,-119.780594,,,0,
123,,"Valley Road and E Poplar Street",,  39.539249,-119.807907,,,0,
124,,"Valley Road and E 9th Street",,  39.537334,-119.807808,,,0,
1251,,"W 4th Street and Del Curto Drive",,  39.514542,-119.851891,,,0,
1254,,"E 2nd Street and Park Street",,  39.527287,-119.804138,,,0,
1258,,"Golden Valley Road and North Hills Boulevard",,  39.603428,-119.836769,,,0,
126,,"Valley Road and E 6th Street",,  39.534161,-119.807777,,,0,
1261,,"N Virginia Street at Reno Sports Complex",,  39.553707,-119.826523,,,0,
1263,,"W 7th Street at Westcreek Apartments",,  39.537613,-119.867233,,,0,
127,,"E 6th Street and Evans Avenue",,  39.533253,-119.810966,,,0,
1270,,"W 7th Street and Robb Drive",,  39.535435,-119.881493,,,0,
1271,,"North Hills Boulevard and Golden Valley Road",,  39.604641,-119.837166,,,0,
128,,"Lake Street and E 6th Street",,  39.532688,-119.812378,,,0,
1285,,"W 7th Street and Painted Cliff",,  39.535046,-119.879204,,,0,
1286,,"Baring Boulevard and Sparks Boulevard",,  39.556450,-119.721886,,,0,
1287,,"W 7th Street and Sierra Highlands Drive",,  39.538322,-119.869743,,,0,
1292,,"Stead Boulevard at J. C. Penney",,  39.637341,-119.881966,,,0,
1293,,"W 4th Street and West Street",,  39.529163,-119.817833,,,0,
1295,,"Northern Nevada Medical Center",,  39.540737,-119.698578,,,0,
1296,,"N Virginia Street at Reno Sports Complex",,  39.555576,-119.826515,,,0,
131,,"W 5th Street and N Arlington Avenue",,  39.530380,-119.819244,,,0,
1313,,"Kirman Avenue and Kuenzli Street",,  39.528793,-119.798454,,,0,
132,,"W 5th Street and Ralston Street",,  39.530037,-119.821381,,,0,
1324,,"Lillard Drive and E Prater Way",,  39.541496,-119.711220,,,0,
1325,,"Lillard Drive and Boxington Way",,  39.538906,-119.711258,,,0,
