route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
26-63,1801-1801-Weekday-01,432701-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11101,260043
26-63,1801-1801-Weekday-01,432702-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11101,260043
26-63,1801-1801-Weekday-01,432703-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11101,260043
26-63,1801-1801-Weekday-01,432704-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11101,260043
26-63,1801-1801-Weekday-01,432705-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11101,260043
25-63,1801-1801-Weekday-01,432706-1801-1801-Weekday-01,"Reed High School",0,11101,250027
25-63,1801-1801-Weekday-01,432707-1801-1801-Weekday-01,"Reed High School",0,11101,250027
25-63,1801-1801-Weekday-01,432708-1801-1801-Weekday-01,"Reed High School",0,11101,250027
25-63,1801-1801-Weekday-01,432709-1801-1801-Weekday-01,"Reed High School",0,11101,250027
26-63,1801-1801-Weekday-01,432710-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11102,260043
26-63,1801-1801-Weekday-01,432711-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11102,260043
26-63,1801-1801-Weekday-01,432712-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11102,260043
26-63,1801-1801-Weekday-01,432713-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11102,260043
26-63,1801-1801-Weekday-01,432714-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11102,260043
26-63,1801-1801-Weekday-01,432715-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11102,260043
25-63,1801-1801-Weekday-01,432716-1801-1801-Weekday-01,"Reed High School",0,11102,250027
25-63,1801-1801-Weekday-01,432717-1801-1801-Weekday-01,"Reed High School",0,11102,250027
25-63,1801-1801-Weekday-01,432718-1801-1801-Weekday-01,"Reed High School",0,11102,250027
25-63,1801-1801-Weekday-01,432719-1801-1801-Weekday-01,"Reed High School",0,11102,250027
21-63,1801-1801-Weekday-01,432720-1801-1801-Weekday-01,"Lillard Drive and Prater Way",0,11102,210036
21-63,1801-1801-Weekday-01,432721-1801-1801-Weekday-01,"Lillard Drive and Prater Way",0,11103,210036
26-63,1801-1801-Weekday-01,432722-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11103,260043
26-63,1801-1801-Weekday-01,432723-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11104,260043
26-63,1801-1801-Weekday-01,432724-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11104,260043
26-63,1801-1801-Weekday-01,432725-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11104,260043
26-63,1801-1801-Weekday-01,432726-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11104,260043
26-63,1801-1801-Weekday-01,432727-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11104,260043
26-63,1801-1801-Weekday-01,432728-1801-1801-Weekday-01,"Northern Nevada Medical Center",0,11104,260043
25-63,1801-1801-Weekday-01,432729-1801-1801-Weekday-01,"Reed High School",0,11104,250027
25-63,1801-1801-Weekday-01,432730-1801-1801-Weekday-01,"Reed High School",0,11104,250027
25-63,1801-1801-Weekday-01,432731-1801-1801-Weekday-01,"Reed High School",0,11104,250027
25-63,1801-1801-Weekday-01,432732-1801-1801-Weekday-01,"Reed High School",0,11104,250027
25-63,1801-1801-Weekday-01,432733-1801-1801-Weekday-01,"Reed High School",0,11104,250027
21-63,1801-1801-Weekday-01,432734-1801-1801-Weekday-01,"Lillard Drive and Prater Way",0,11104,210036
54-63,1801-1801-Weekday-01,432735-1801-1801-Weekday-01,"Meadowood Mall",0,54101,540067
